sample_id,expression,response,dose,group
S098,5.6,3.074,7.02,control
S099,3.642,3.176,3.87,treated
S100,4.433,4.928,6.62,control
S101,6.949,4.332,14.98,treated
S102,4.466,,0.79,treated
S103,6.106,4.622,16.63,treated
S104,3.6,2.831,17.2,treated
S105,4.692,2.911,7.76,control
S106,3.575,2.592,3.5,treated
S107,4.491,4.633,12.22,control
S108,6.26,5.474,2.83,treated
S109,2.409,3.313,7.62,control
S110,5.652,5.463,19.19,control
S111,,4.637,19.91,treated
S112,4.109,4.682,15.56,control
S113,2.831,2.616,6.56,treated
S114,5.108,4.749,13.91,treated
S115,4.206,3.127,14.26,treated
S116,5.349,4.332,8.06,treated
S117,5.033,3.468,13.0,treated
S118,7.403,6.714,0.71,control
S119,4.641,2.77,4.58,control
S120,3.465,3.398,10.74,control
S121,5.269,4.063,3.69,treated
S122,5.33,5.201,3.74,control
S123,7.039,6.232,16.81,control
S124,6.253,6.459,19.79,control
S125,5.535,5.013,11.34,control
S126,7.195,4.498,16.86,control
S127,3.217,2.52,19.81,control
S128,4.04,2.295,3.26,control
S129,3.61,2.473,9.24,control
S130,4.415,4.741,8.16,control
S131,2.935,2.858,2.06,control
S132,5.953,4.203,15.23,treated
S133,4.667,2.922,8.96,control
S134,2.794,2.261,9.65,control
S135,3.477,1.808,3.44,control
S136,5.47,3.839,4.03,treated
S137,6.257,5.255,18.19,treated
S138,7.995,7.32,1.37,treated
S139,9.371,7.984,5.04,control
S140,5.622,2.664,6.2,control
S141,3.516,3.056,10.06,control
S142,1.802,1.499,11.94,treated
S143,5.402,4.652,10.12,treated
S144,3.781,4.317,2.14,treated
S145,4.377,1.851,5.25,treated
S146,4.082,2.793,16.95,treated
S147,4.789,4.304,,treated
S148,6.599,4.014,13.16,treated
S149,5.236,5.369,13.57,control
S150,4.762,4.104,15.38,control
S151,3.447,3.434,1.63,treated
S152,2.488,1.534,7.65,control
S153,4.271,4.067,11.02,control
S154,4.919,,7.1,treated
S155,7.652,6.308,16.97,control
S156,5.195,4.344,9.91,treated
S157,6.474,5.396,15.49,treated
S158,4.251,2.71,17.11,control
S159,3.223,2.46,10.34,treated
S160,3.552,2.72,18.24,treated
S161,3.912,3.436,11.95,treated
S162,8.193,7.354,17.08,control
S163,3.768,2.168,7.14,treated
S164,6.258,4.906,10.23,treated
S165,3.646,4.102,10.86,treated
S166,6.397,4.523,2.55,control
S167,5.577,3.804,8.27,control
S168,4.765,3.974,18.39,treated
S169,4.939,4.627,12.8,control
S170,4.018,3.223,3.96,control
S171,5.669,5.598,7.11,control
S172,4.318,4.139,4.24,control
S173,3.162,3.203,0.98,control
S174,3.083,2.91,18.59,control
S175,5.259,6.069,9.24,treated
S176,7.369,5.731,6.5,control
S177,5.24,2.589,12.17,control
S178,4.822,5.141,0.64,control
S179,5.429,3.977,5.92,treated
S180,6.959,5.654,14.21,control
S181,5.329,5.311,12.86,treated
S182,4.384,2.225,19.65,treated
S183,6.659,4.326,12.6,treated
S184,5.643,3.233,,treated
S185,7.304,5.208,15.35,control
S186,5.275,,18.11,treated
S187,3.163,2.95,14.55,control
S188,2.948,,19.28,treated
S189,7.476,4.851,15.75,treated
S190,7.585,4.22,,treated
S191,4.731,3.828,2.73,treated
S192,4.425,3.163,14.78,control
S193,7.192,6.121,9.08,treated
S194,3.339,3.233,11.29,treated
S195,3.658,3.037,13.25,treated
S196,5.965,5.38,19.41,control
S197,4.408,3.71,19.7,treated
S198,4.992,4.418,6.12,control
S199,4.755,3.24,14.81,control
